from ,to,position,year
lagerfeld,b,assistant,1954
lauren ,bb,assistant,1967
blazy,ce,assistant,2014
blazy,ck,assistant,2016
bailey,dkny,assistant,1994
abloh,f,assistant,2009
chiuri,f,assistant,1989
lagerfeld,f,assistant,1964
costa,g,assistant,1998
dolce,gc,assistant,1980
gabbana,gc,assistant,1980
lacroix,h,assistant,1978
lacroix,ja,assistant,1980
lacroix,jp,assistant,1981
audigier,l,assistant,
coppola,lv,assistant,2012
blazy,mm,assistant,2009
armani,n,assistant,1961
costa,or,assistant,1993
herrera,p,assistant,999
gaultier,pc,assistant,1970
rousteing,rc,assistant,2003
burch,rl,assistant,1990
jette,rl,assistant,1996
blazy,rs,assistant,2007
armani,u,assistant,1970
chiuri,va,assistant,1999
simons,vb,assistant,1991
burch,vw,assistant,1990
armani,z,assistant,1970
burton,am,director,2010
renta,b,director,1992
rousteing,b,director,2009
bailey,bu,director,2001
blazy,bv,director,2020
lagerfeld,c,director,1982
lagerfeld,ch,director,1963
simons,ck,director,2018
chiuri,d,director,2016
galliano,d,director,1997
audigier,di,director,1975
abloh,do,director,2010
audigier,eh,director,2004
etro,et,director,2000
gianni,f,director,1997
bailey,g,director,1996
ford,g,director,1994
gianni,g,director,2002
galliano,gal,director,1995
queen,gi,director,1997
lagerfeld,jp,director,1958
simons,js,director,2005
audigier,le,director,1975
abloh,lv,director,2018
jacobs,lv,director,1997
williams,lv,director,2023
owens,ml,director,1990
prada,pr,director,1977
rousteing,rc,director,2004
costa,th,director,2001
versace,v,director,1997
audigier,vd,director,1999
armani,a,founder,1975
dominguez,ad,founder,1973
ferretti,af,founder,1972
queen,am,founder,1993
williams,bbc,founder,2005
dalmau,cb,founder,1996
lacroix,cl,founder,1987
emanuel,dec,founder,1990
dolce,dg,founder,1985
gabbana,dg,founder,1985
hardy,eh,founder,2004
lacroix,gp,founder,1980
herrera,he,founder,1981
joop,j,founder,1986
jette,je,founder,1995
lauren ,je,founder,2004
gaultier,jpg,founder,1978
lagerfeld,kl,founder,1984
elkann,le,founder,2006
mugler,m,founder,1974
prada,mi,founder,1993
jacobs,mj,founder,1986
owens,o,founder,1994
frank,pf,founder,1995
plein,pp,founder,2004
cavalli,rc,founder,1972
lauren ,rl,founder,1967
simons,rs,founder,1995
burch,tb,founder,2004
ford,tf,founder,2003
hilfiger,th,founder,1985
westwood,viw,founder,1971
yamamoto,y,founder,1984
neilson,am,999,1990
renta,annette,999,1989
dolce,bellucci,999,1992
gabbana,bellucci,999,1992
hilfiger,beyonce,999,999
delevingne,bu,999,2014
jacobs,buendchen,999,2014
moss,bv,999,2022
delevingne,c,999,999
giabiconi,c,999,2008
kroenig,c,999,2005
schiffer,c,999,1990
larson,ca,999,2008
herrera,cameron,999,2023
evangelista,ck,999,1989
mara,ck,999,2013
moss,ck,999,1992
shields,ck,999,1980
jacobs,coppola,999,2014
kahlo,d,999,2024
seymour,dec,999,1978
bailey,delevingne,999,2014
bellucci,dg,999,1992
ford,doillon,999,999
mugler,ellis,999,1990
klein,evangelista,999,1989
doillon,g,999,2006
versace,gaga,999,2016
kolibius,gal,999,2020
moss,gal,999,2011
lagerfeld,giabiconi,999,999
hilfiger,hadid,999,2018
cameron,he,999,2023
abloh,hill,999,999
cavalli,jenner,999,2019
gaultier,jp,999,1971
madonna,jpg,999,1985
armani,kolibius,999,2020
lagerfeld,kroenig,999,999
owens,lamy,999,2006
audigier,larson,999,2008
buendchen,lv,999,2014
hill,lv,999,2021
ellis,m,999,1990
gaultier,madonna,999,1990
costa,mara,999,2013
blazy,moss,999,2023
galliano,moss,999,2011
klein,moss,999,1992
queen,neilson,999,999
lamy,o,999,2006
annette,or,999,1989
jenner,rc,999,2019
lagerfeld,schiffer,999,999
emanuel,seymour,999,1978
klein,shields,999,1980
westwood,stockbridge,999,1985
hadid,th,999,2018
zendaya,th,999,2019
williams,towley,999,2017
gaga,v,999,2016
stockbridge,v,999,1985
hilfiger,zendaya,999,2019
