from ,to,position,year
abloh,f,assistant,2009
armani,n,assistant,1961
armani,u,assistant,1970
armani,z,assistant,1970
audigier,l,assistant,
bailey,dkny,assistant,1994
blazy,mm,assistant,2009
blazy,rs,assistant,2007
blazy,ce,assistant,2014
blazy,ck,assistant,2016
burch,rl,assistant,1990
burch,vw,assistant,1990
chiuri,f,assistant,1989
chiuri,va,assistant,1999
coppola,lv,assistant,2012
costa,or,assistant,1993
costa,g,assistant,1998
dolce,gc,assistant,1980
gabbana,gc,assistant,1980
gaultier,pc,assistant,1970
herrera,p,assistant,NA
jette,rl,assistant,1996
lacroix,h,assistant,1978
lacroix,ja,assistant,1980
lacroix,jp,assistant,1981
lagerfeld,b,assistant,1954
lagerfeld,f,assistant,1964
lauren ,bb,assistant,1967
rousteing,rc,assistant,2003
simons,vb,assistant,1991
abloh,do,director,2010
abloh,lv,director,2018
audigier,di,director,1975
audigier,le,director,1975
audigier,vd,director,1999
audigier,eh,director,2004
bailey,g,director,1996
bailey,bu,director,2001
blazy,bv,director,2020
burton,am,director,2010
chiuri,d,director,2016
costa,th,director,2001
etro,et,director,2000
ford,g,director,1994
galliano,d,director,1997
galliano,gal,director,1995
gianni,f,director,1997
gianni,g,director,2002
jacobs,lv,director,1997
lagerfeld,jp,director,1958
lagerfeld,ch,director,1963
lagerfeld,c,director,1982
owens,ml,director,1990
prada,pr,director,1977
renta,b,director,1992
rousteing,rc,director,2004
rousteing,b,director,2009
simons,js,director,2005
simons,ck,director,2018
versace,v,director,1997
williams,lv,director,2023
queen,gi,director,1997
armani,a,founder,1975
burch,tb,founder,2004
cavalli,rc,founder,1972
dalmau,cb,founder,1996
dolce,dg,founder,1985
dominguez,ad,founder,1973
emanuel,dec,founder,1990
ferretti,af,founder,1972
ford,tf,founder,2003
frank,pf,founder,1995
gabbana,dg,founder,1985
gaultier,jpg,founder,1978
hardy,eh,founder,2004
herrera,he,founder,1981
hilfiger,th,founder,1985
jacobs,mj,founder,1986
jette,je,founder,1995
joop,j,founder,1986
lacroix,cl,founder,1987
lacroix,gp,founder,1980
lagerfeld,kl,founder,1984
lauren ,je,founder,2004
lauren ,rl,founder,1967
mugler,m,founder,1974
owens,o,founder,1994
plein,pp,founder,2004
prada,mi,founder,1993
simons,rs,founder,1995
elkann,le,founder,2006
westwood,viw,founder,1971
williams,bbc,founder,2005
queen,am,founder,1993
yamamoto,y,founder,1984
gaultier,jp,NA,1971
abloh,hill,NA,NA
armani,kolibius,NA,2020
audigier,larson,NA,2008
bailey,delevingne,NA,2014
blazy,moss,NA,2023
cavalli,jenner,NA,2019
costa,mara,NA,2013
dolce,bellucci,NA,1992
emanuel,seymour,NA,1978
ford,doillon,NA,NA
gabbana,bellucci,NA,1992
galliano,moss,NA,2011
gaultier,madonna,NA,1990
herrera,cameron,NA,2023
hilfiger,beyonce,NA,NA
hilfiger,hadid,NA,2018
hilfiger,zendaya,NA,2019
jacobs,buendchen,NA,2014
jacobs,coppola,NA,2014
klein,shields,NA,1980
klein,evangelista,NA,1989
klein,moss,NA,1992
lagerfeld,giabiconi,NA,NA
lagerfeld,kroenig,NA,NA
lagerfeld,schiffer,NA,NA
mugler,ellis,NA,1990
owens,lamy,NA,2006
queen,neilson,NA,NA
renta,annette,NA,1989
versace,gaga,NA,2016
westwood,stockbridge,NA,1985
williams,towley,NA,2017
annette,or,NA,1989
bellucci,dg,NA,1992
buendchen,lv,NA,2014
cameron,he,NA,2023
delevingne,bu,NA,2014
delevingne,c,NA,NA
doillon,g,NA,2006
ellis,m,NA,1990
evangelista,ck,NA,1989
gaga,v,NA,2016
giabiconi,c,NA,2008
hadid,th,NA,2018
hill,lv,NA,2021
jenner,rc,NA,2019
kahlo,d,NA,2024
kolibius,gal,NA,2020
kroenig,c,NA,2005
lamy,o,NA,2006
larson,ca,NA,2008
madonna,jpg,NA,1985
mara,ck,NA,2013
moss,ck,NA,1992
moss,gal,NA,2011
moss,bv,NA,2022
neilson,am,NA,1990
shields,ck,NA,1980
schiffer,c,NA,1990
seymour,dec,NA,1978
stockbridge,v,NA,1985
zendaya,th,NA,2019
