id,name,sex,sexuality,birthyear,scholar,transfer,main_workplace,value,type
burton,Sarah Burton,1,1,1974,3,1,gb,1,3
chiuri,Maria Grazia Chiuri,1,1,1964,3,3,it,1,3
gianni,Frida Gianni,1,1,1972,3,2,it,1,3
jette,Jette Joop,1,1,1968,2,2,de,1,3
westwood,Vivienne Westwood,1,1,1941,3,1,gb,1,3
ferretti,Alberta Ferretti,1,1,1950,2,1,it,2,3
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,3
versace,Donatella Versace,1,1,1955,2,1,it,3,3
burch,Tory Burch,1,1,1966,3,3,usa,5,3
prada,Miuccia Prada,1,1,1974,1,2,it,5,3
etro,Veronica Etro,1,1,1974,3,2,it,NA,3
annette,Annette de la Renta,1,NA,NA,NA,NA,NA,NA,1
bellucci,Monica Belluci,1,NA,NA,NA,NA,NA,NA,1
beyonce,Beyonce Knowles,1,NA,NA,NA,NA,NA,NA,1
buendchen,Giselle Bundchen,1,NA,NA,NA,NA,NA,NA,1
cameron,Dove Cameron,1,NA,NA,NA,NA,NA,NA,1
coppola,Sofia Coppola,1,NA,NA,NA,NA,NA,NA,1
delevingne,Cara Delevingne,1,NA,NA,NA,NA,NA,NA,1
doillon,Lou Doillon,1,NA,NA,NA,NA,NA,NA,1
ellis,Stella Ellis,1,NA,NA,NA,NA,NA,NA,1
evangelista,Linda Evangelista,1,NA,NA,NA,NA,NA,NA,1
gaga,Lady Gaga,1,NA,NA,NA,NA,NA,NA,1
hadid,Gigi Hadid,1,NA,NA,NA,NA,NA,NA,1
hill,Lauryn Hill,1,NA,NA,NA,NA,NA,NA,1
jenner,Kendall Jenner,1,NA,NA,NA,NA,NA,NA,1
kahlo,Frida Kahlo,1,NA,NA,NA,NA,NA,NA,1
kolibius,Felize Kolibius,1,NA,NA,NA,NA,NA,NA,1
lamy,Michele Lamy,1,NA,NA,NA,NA,NA,NA,1
larson,Sarah Larson,1,NA,NA,NA,NA,NA,NA,1
madonna,Madonna,1,NA,NA,NA,NA,NA,NA,1
mara,Rooney Mara,1,NA,NA,NA,NA,NA,NA,1
moss,Kate Moss,1,NA,NA,NA,NA,NA,NA,1
neilson,Annabelle Neilson,1,NA,NA,NA,NA,NA,NA,1
schiffer,Claudia Schiffer,1,NA,NA,NA,NA,NA,NA,1
seymour,Jane Seymour,1,NA,NA,NA,NA,NA,NA,1
shields,Brooke Shields,1,NA,NA,NA,NA,NA,NA,1
stockbridge,Sara Stockbridge,1,NA,NA,NA,NA,NA,NA,1
towley,Mette Towley,1,NA,NA,NA,NA,NA,NA,1
zendaya,Zendaya Coleman,1,NA,NA,NA,NA,NA,NA,1
dalmau,Custo Dalmau,2,2,1959,1,1,sp,1,3
dominguez,Adolfo Dominguez,2,1,1950,3,1,sp,1,3
elkann,Lapo Elkann,2,1,1977,1,1,it,1,3
frank,Paul Frank,2,1,1967,3,1,usa,1,3
galliano,John Galliano,2,2,1960,3,3,gb,1,3
joop,Wolfgang Joop,2,3,1944,1,1,de,1,3
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,3
mugler,Thierry Mugler,2,2,1949,1,1,fr,1,3
owens,Rick Owens,2,1,1962,3,2,usa,1,3
queen,Alexander McQueen,2,2,1969,2,4,usa,1,3
renta,Oscar de la Renta,2,1,1932,2,1,dr,1,3
rousteing,Olivier Rousteing,2,2,1985,1,,fr,1,3
simons,Raf Simons,2,2,1968,3,4,usa,1,3
abloh,Virgil Abloh,2,2,1980,2,4,usa,2,3
bailey,Christopher Bailey,2,2,1971,3,3,gb,2,3
costa,Francisco Costa,2,2,1961,3,3,bra,2,3
emanuel,David Emanuel,2,1,1952,3,2,wal,2,3
audigier,Christian Audigier,2,1,1958,1,4,usa,3,3
cavalli,Roberto Cavalli,2,1,1940,3,2,it,3,3
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,3
hardy,Don Ed Hardy,2,1,1945,1,1,usa,3,3
hilfiger,Tommy Hilfiger,2,1,1951,1,1,usa,3,3
jacobs,Marc Jacobs,2,2,1963,3,2,usa,3,3
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,3
plein,Philipp Plein,2,1,1978,1,1,de,3,3
williams,Pharell Williams,2,1,1973,1,2,usa,3,3
klein,Calvin Klein,2,3,1942,3,1,usa,4,3
armani,Giorgio Armani,2,3,1934,2,4,it,5,3
dolce,Domenico Dolce,2,2,1958,2,2,it,5,3
ford,Tom Ford,2,2,1961,3,2,usa,5,3
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,3
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,3
blazy,Matthieu Blazy,2,2,1984,3,4,fr,NA,3
yamamoto,Yohji Yamamoto,2,1,1943,3,1,jap,NA,3
giabiconi,Baptiste Giabiconi,2,NA,NA,NA,NA,NA,NA,1
kroenig,Brad Kroenig,2,NA,NA,NA,NA,NA,NA,1
ad,ADominguez,NA,NA,NA,NA,NA,sp,1,2
am,AMcQueen,NA,NA,NA,NA,NA,gb,1,2
b,Balmain,NA,NA,NA,NA,NA,fr,1,2
bb,Brooks Brothers,NA,NA,NA,NA,NA,usa,1,2
bbc,Billionaire Boys Club,NA,NA,NA,NA,NA,usa,1,2
cb,Custo Barcelona,NA,NA,NA,NA,NA,sp,1,2
af,AFerretti,NA,NA,NA,NA,NA,it,2,2
ca,CAudigier,NA,NA,NA,NA,NA,fr,2,2
ce,Celine,NA,NA,NA,NA,NA,fr,4,2
a,Armani,NA,NA,NA,NA,NA,it,5,2
bu,Burberry,NA,NA,NA,NA,NA,gb,5,2
bv,Bottega Veneta,NA,NA,NA,NA,NA,it,5,2
c,Chanel,NA,NA,NA,NA,NA,fr,5,2
ch,Chloe,NA,NA,NA,NA,NA,fr,5,2
cl,CLacroix,NA,NA,NA,NA,NA,fr,1,2
dec,DEmanuel Couture,NA,NA,NA,NA,NA,wal,1,2
do,Donda by Kanye West,NA,NA,NA,NA,NA,usa,1,2
gal,Galliano,NA,NA,NA,NA,NA,gb,1,2
gp,Guy Paulin,NA,NA,NA,NA,NA,fr,1,2
j,Joop,NA,NA,NA,NA,NA,de,1,2
ja,Jun Ashida,NA,NA,NA,NA,NA,jap,1,2
je,JetteJoop,NA,NA,NA,NA,NA,de,1,2
jp,Jean Patou,NA,NA,NA,NA,NA,fr,1,2
js,Jil Sander,NA,NA,NA,NA,NA,de,1,2
m,Mugler,NA,NA,NA,NA,NA,fr,1,2
ml,MLamy,NA,NA,NA,NA,NA,de,1,2
mm,Maison Margiela,NA,NA,NA,NA,NA,fr,1,2
n,Nino Cerutti,NA,NA,NA,NA,NA,it,1,2
or,Ode la Renta,NA,NA,NA,NA,NA,dr,1,2
p,Pucci,NA,NA,NA,NA,NA,it,1,2
rr,Ruffo Research,NA,NA,NA,NA,NA,it,1,2
rs,Raf Simons,NA,NA,NA,NA,NA,b,1,2
u,Ungaro,NA,NA,NA,NA,NA,fr,1,2
vb,Van Beirendonck,NA,NA,NA,NA,NA,b,1,2
vd,Von Dutch,NA,NA,NA,NA,NA,usa,1,2
viw,VWestwood,NA,NA,NA,NA,NA,gb,1,2
y,YYamamoto,NA,NA,NA,NA,NA,jap,1,2
gi,Givenchy,NA,NA,NA,NA,NA,fr,2,2
he,Herrera,NA,NA,NA,NA,NA,ven,2,2
o,Owens,NA,NA,NA,NA,NA,usa,2,2
di,Diesel,NA,NA,NA,NA,NA,it,3,2
eh,EHardy,NA,NA,NA,NA,NA,usa,3,2
jpg,JPGaultier,NA,NA,NA,NA,NA,fr,3,2
kl,KLagerfeld,NA,NA,NA,NA,NA,fr,3,2
mi,Miu Miu,NA,NA,NA,NA,NA,it,3,2
mj,MJacobs,NA,NA,NA,NA,NA,usa,3,2
pp,PPlein,NA,NA,NA,NA,NA,de,3,2
rc,RCavalli,NA,NA,NA,NA,NA,it,3,2
th,THilfiger,NA,NA,NA,NA,NA,usa,3,2
dkny,Donna Karan,NA,NA,NA,NA,NA,usa,4,2
et,Etro,NA,NA,NA,NA,NA,it,4,2
le,Lee,NA,NA,NA,NA,NA,usa,4,2
pc,Pierre Cadin,NA,NA,NA,NA,NA,fr,4,2
pf,PFrank,NA,NA,NA,NA,NA,usa,4,2
vw,VWang,NA,NA,NA,NA,NA,usa,4,2
ck,CKlein,NA,NA,NA,NA,NA,usa,5,2
d,Dior,NA,NA,NA,NA,NA,fr,5,2
dg,DolceGabbana,NA,NA,NA,NA,NA,it,5,2
f,Fendi,NA,NA,NA,NA,NA,it,5,2
g,Gucci,NA,NA,NA,NA,NA,it,5,2
h,Hermes,NA,NA,NA,NA,NA,fr,5,2
l,Levis,NA,NA,NA,NA,NA,usa,5,2
lv,Louis Vuitton,NA,NA,NA,NA,NA,fr,5,2
pr,Prada,NA,NA,NA,NA,NA,it,5,2
rl,RLauren,NA,NA,NA,NA,NA,usa,5,2
tb,TBurch,NA,NA,NA,NA,NA,usa,5,2
tf,TFord,NA,NA,NA,NA,NA,usa,5,2
v,Versace,NA,NA,NA,NA,NA,it,5,2
va,Valentino,NA,NA,NA,NA,NA,it,5,2
z,Zegna,NA,NA,NA,NA,NA,it,5,2
gc,Giorgio Corregliani,NA,NA,NA,NA,NA,it,,2
