from ,to,position,year
lagerfeld,b,assistant,1954
lauren ,bb,assistant,1967
blazy,ce,assistant,2014
blazy,ck,assistant,2016
bailey,dkny,assistant,1994
abloh,f,assistant,2009
chiuri,f,assistant,1989
lagerfeld,f,assistant,1964
costa,g,assistant,1998
dolce,gc,assistant,1980
gabbana,gc,assistant,1980
lacroix,h,assistant,1978
lacroix,ja,assistant,1980
lacroix,jp,assistant,1981
audigier,l,assistant,999
coppola,lv,assistant,2012
blazy,mm,assistant,2009
armani,n,assistant,1961
costa,or,assistant,1993
herrera,p,assistant,999
gaultier,pc,assistant,1970
rousteing,rc,assistant,2003
burch,rl,assistant,1990
jette,rl,assistant,1996
blazy,rs,assistant,2007
armani,u,assistant,1970
chiuri,va,assistant,1999
simons,vb,assistant,1991
burch,vw,assistant,1990
armani,z,assistant,1970
