from ,to,position,year
burton,am,director,2010
renta,b,director,1992
rousteing,b,director,2009
bailey,bu,director,2001
blazy,bv,director,2020
lagerfeld,c,director,1982
lagerfeld,ch,director,1963
simons,ck,director,2018
chiuri,d,director,2016
galliano,d,director,1997
audigier,di,director,1975
abloh,do,director,2010
audigier,eh,director,2004
etro,et,director,2000
gianni,f,director,1997
bailey,g,director,1996
ford,g,director,1994
gianni,g,director,2002
galliano,gal,director,1995
queen,gi,director,1997
lagerfeld,jp,director,1958
simons,js,director,2005
audigier,le,director,1975
abloh,lv,director,2018
jacobs,lv,director,1997
williams,lv,director,2023
owens,ml,director,1990
prada,pr,director,1977
rousteing,rc,director,2004
costa,th,director,2001
versace,v,director,1997
audigier,vd,director,1999
