from ,to,position,year
armani,a,founder,1975
burch,tb,founder,2004
cavalli,rc,founder,1972
dalmau,cb,founder,1996
dolce,dg,founder,1985
dominguez,ad,founder,1973
emanuel,dec,founder,1990
ferretti,af,founder,1972
ford,tf,founder,2003
frank,pf,founder,1995
gabbana,dg,founder,1985
gaultier,jpg,founder,1978
hardy,eh,founder,2004
herrera,he,founder,1981
hilfiger,th,founder,1985
jacobs,mj,founder,1986
jette,je,founder,1995
joop,j,founder,1986
lacroix,cl,founder,1987
lacroix,gp,founder,1980
lagerfeld,kl,founder,1984
lauren ,je,founder,2004
lauren ,rl,founder,1967
mugler,m,founder,1974
owens,o,founder,1994
plein,pp,founder,2004
prada,mi,founder,1993
simons,rs,founder,1995
elkann,le,founder,2006
westwood,viw,founder,1971
williams,bbc,founder,2005
queen,am,founder,1993
yamamoto,y,founder,1984
