id,name,sex,sexuality,birthyear,scholar,transfer,main_workplace,value,type
a,Armani,999,999,999,999,999,999,5,2
ad,ADominguez,999,999,999,999,999,999,1,2
af,AFerretti,999,999,999,999,999,999,2,2
am,AMcQueen,999,999,999,999,999,999,1,2
armani,Giorgio Armani,2,3,1934,2,4,it,5,1
bbc,Billionaire Boys Club,999,999,999,999,999,999,1,2
burch,Tory Burch,1,1,1966,3,3,usa,5,1
cavalli,Roberto Cavalli,2,1,1940,3,2,it,3,1
cb,Custo Barcelona,999,999,999,999,999,999,1,2
cl,CLacroix999,999,999,999,999,999,999,1,2
dalmau,Custo Dalmau,2,2,1959,1,1,sp,1,1
dec,DEmanuel Couture999,999,999,999,999,999,999,1,2
dg,DolceGabbana999,999,999,999,999,999,999,5,2
dolce,Domenico Dolce,2,2,1958,2,2,it,5,1
dominguez,Adolfo Dominguez,2,1,1950,3,1,sp,1,1
eh,EHardy999,999,999,999,999,999,999,3,2
elkann,Lapo Elkann,2,1,1977,1,1,it,1,1
emanuel,David Emanuel,2,1,1952,3,2,wal,2,1
ferretti,Alberta Ferretti,1,1,1950,2,1,it,2,1
ford,Tom Ford,2,2,1961,3,2,usa,5,1
frank,Paul Frank,2,1,1967,3,1,usa,1,1
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,1
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,1
gp,Guy Paulin999,999,999,999,999,999,999,1,2
hardy,Don Ed Hardy,2,1,1945,1,1,usa,3,1
he,Herrera999,999,999,999,999,999,999,2,2
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,1
hilfiger,Tommy Hilfiger,2,1,1951,1,1,usa,3,1
j,Joop999,999,999,999,999,999,999,1,2
jacobs,Marc Jacobs,2,2,1963,3,2,usa,3,1
je,JetteJoop999,999,999,999,999,999,999,1,2
jette,Jette Joop,1,1,1968,2,2,de,1,1
joop,Wolfgang Joop,2,3,1944,1,1,de,1,1
jpg,JPGaultier999,999,999,999,999,999,999,3,2
kl,KLagerfeld999,999,999,999,999,999,999,3,2
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,1
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,1
le,Lee999,999,999,999,999,999,999,4,2
m,Mugler999,999,999,999,999,999,999,1,2
mi,Miu Miu999,999,999,999,999,999,999,3,2
mj,MJacobs999,999,999,999,999,999,999,3,2
mugler,Thierry Mugler,2,2,1949,1,1,fr,1,1
o,Owens999,999,999,999,999,999,999,2,2
owens,Rick Owens,2,1,1962,3,2,usa,1,1
pf,PFrank999,999,999,999,999,999,999,4,2
plein,Philipp Plein,2,1,1978,1,1,de,3,1
pp,PPlein999,999,999,999,999,999,999,3,2
prada,Miuccia Prada,1,1,1974,1,2,it,5,1
queen,Alexander McQueen,2,2,1969,2,4,usa,1,1
rc,RCavalli999,999,999,999,999,999,999,3,2
rl,RLauren999,999,999,999,999,999,999,5,2
rs,Raf Simmons999,999,999,999,999,999,999,1,2
simons,Raf Simons,2,2,1968,3,4,usa,1,1
tb,TBurch999,999,999,999,999,999,999,5,2
tf,TFord999,999,999,999,999,999,999,5,2
th,THilfiger999,999,999,999,999,999,999,3,2
viw,VWestwood999,999,999,999,999,999,999,1,2
westwood,Vivienne Westwood,1,1,1941,3,1,gb,1,1
williams,Pharell Williams,2,1,1973,1,2,usa,3,1
y,YYamamoto999,999,999,999,999,999,999,1,2
yamamoto,Yohji Yamamoto,2,1,1943,3,1,jap,,1
